None,High_School,Associates,Bachelors,Graduate,Europe,Asia,Africa,Oceania,Americas,Never_Married,Married,Divorced,Separated,Widowed,Female,Male,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Pacific_Islander,Hispanic_Latino,White,Other,Two_or_More,Median_Income,Unemployment,Population,Nursery_Pre-School,Kindergarten,1st_4th,5th_8th,9th_12th,Violent_Crime
1514,3042,3156,1630,1013,,89,0,0,0,3152,6041,2121,136,1040,8135,7423,200,173,91,0,968,13670,210,472,22491,354,15558,207,102,709,1033,766,32
654,775,494,114,203,,23,0,0,0,1339,966,190,152,133,1713,1883,3129,0,23,0,32,410,2,0,20504,96,3596,47,89,217,121,248,49
299,595,385,96,114,,0,0,0,0,274,920,263,78,172,1160,907,218,18,0,0,23,1808,3,0,19083,33,2067,0,29,100,100,75,1
3704,6747,8387,2820,1812,,133,81,34,0,10306,11666,3930,1021,1773,19327,17314,16017,103,264,72,2153,16748,667,1427,24552,1557,36641,579,581,2278,1700,2067,235
120,184,221,39,23,,0,0,0,0,135,351,112,42,51,434,380,180,7,0,0,20,607,0,17,16786,25,814,12,8,12,26,76,1
458,1437,2625,1239,542,,46,43,0,0,1607,4436,814,77,432,4460,4328,117,42,46,0,79,8424,19,64,33100,78,8788,39,52,331,526,450,15
348,1459,1028,460,390,,186,0,0,0,2185,1800,441,158,152,3098,3326,114,3981,180,1,352,1410,122,428,34455,294,6424,104,91,494,509,445,99
228,774,777,292,241,,15,3,0,0,1197,1117,368,78,112,1869,1944,75,2088,25,41,237,994,21,438,34625,192,3813,83,62,204,262,225,103
708,1719,1725,596,420,,117,0,0,0,1758,2759,975,209,351,3830,3857,42,1033,170,88,410,5521,122,492,30135,337,7687,82,116,499,392,349,62
1366,4766,7203,3324,1518,,1093,163,14,0,9031,12005,2589,466,837,14744,16933,2889,2899,1320,199,3678,18388,515,3036,30643,1132,31677,431,465,1492,1441,1148,193
236,772,589,229,106,,33,0,0,0,1119,895,257,50,117,1541,1747,69,2269,50,0,68,634,23,226,32108,164,3288,65,95,218,214,185,106
