State,City,Unemployment Count
Arizona,Scenic,0
Arizona,Valentine,1
Arizona,Vaiva Vo,0
Arizona,Utting,0
Arizona,Upper Santan Village,0
Arizona,Turkey Creek,92
Arizona,Truxton,0
Arizona,Toyei,0
Arizona,Santa Cruz,0
Arizona,Wide Ruins,0
Arizona,Topock,0
Arizona,San Tan Valley,2828
Arizona,Arivaca,28
Arizona,Topawa,16
Arizona,Tonto Village,26
Arizona,Tolani Lake,45
Arizona,Tees Toh,66
Arizona,Tat Momoli,0
Arizona,Tonopah,0
Arizona,Sweet Water Village,0
Arizona,Sunwest,0
Arizona,Sun Valley,7
Arizona,Sunizona,5
Arizona,Summerhaven,0
Arizona,Stotonic Village,46
Arizona,South Komelik,0
Arizona,Solomon,17
