State,City,Europe,Asia,Africa,Oceania,Americas
Alabama,Fort Rucker,19.0,56.0,0.0,0.0,0.0
Alabama,Midland City,6.0,5.0,0.0,0.0,0.0
Alabama,Black,0.0,0.0,0.0,0.0,0.0
Alabama,Geneva,22.0,84.0,0.0,0.0,0.0
Alabama,Jacksons' Gap,0.0,3.0,0.0,0.0,0.0
Alabama,Maplesville,0.0,0.0,0.0,0.0,0.0
Alabama,Odenville,0.0,0.0,0.0,0.0,0.0
Alabama,Brundidge,0.0,2.0,0.0,0.0,0.0
Alabama,Roanoke,8.0,12.0,0.0,0.0,0.0
Alabama,Rock Mills,0.0,0.0,0.0,0.0,0.0
Alabama,Russellville,0.0,84.0,0.0,0.0,0.0
Alabama,Vina,0.0,11.0,0.0,0.0,0.0
Alabama,Providence,0.0,0.0,0.0,0.0,0.0
Alabama,Grant,4.0,9.0,0.0,0.0,0.0
Alabama,Daviston,0.0,0.0,0.0,0.0,0.0
Alabama,Clanton,0.0,123.0,0.0,0.0,0.0
Alabama,Moores Mill,24.0,26.0,0.0,0.0,0.0
Alabama,Excel,18.0,0.0,0.0,0.0,0.0
Alabama,Pine Hill,0.0,0.0,0.0,0.0,0.0
Alabama,Spruce Pine,0.0,0.0,0.0,0.0,0.0
Alabama,Woodstock,6.0,14.0,0.0,0.0,0.0
Alabama,Westover,13.0,0.0,0.0,0.0,0.0
Alabama,Valley Grande,0.0,0.0,0.0,0.0,0.0
Alabama,Center Point,10.0,0.0,7.0,0.0,0.0
Alabama,Smiths Station,28.0,0.0,0.0,0.0,0.0
Alabama,Gadsden,30.0,405.0,195.0,0.0,0.0
Alabama,Abanda,0.0,0.0,0.0,0.0,0.0
Alabama,Mount Vernon,7.0,12.0,0.0,0.0,0.0
Alabama,Pennington,0.0,0.0,0.0,0.0,0.0
Alabama,Union,0.0,0.0,0.0,0.0,0.0
Alabama,Red Bay,27.0,42.0,0.0,0.0,0.0
Alabama,Stockton,0.0,0.0,0.0,0.0,0.0
Alabama,Stapleton,0.0,0.0,0.0,0.0,0.0
Alabama,Perdido,0.0,0.0,0.0,0.0,0.0
Alabama,Samson,5.0,0.0,0.0,0.0,0.0
Alabama,Lillian,20.0,21.0,0.0,0.0,0.0
Alabama,Axis,0.0,111.0,0.0,0.0,0.0
Alabama,Belgreen,0.0,0.0,0.0,0.0,0.0
Alabama,Chelsea,166.0,188.0,20.0,0.0,0.0
Alabama,Ashville,0.0,0.0,0.0,0.0,0.0
Alabama,Ashland,0.0,5.0,0.0,0.0,0.0
Alabama,Ashford,4.0,2.0,0.0,0.0,0.0
Alabama,Carlisle-Rockledge,0.0,0.0,0.0,0.0,0.0
Alabama,Calvert,0.0,0.0,0.0,0.0,0.0
Alabama,Ballplay,0.0,0.0,0.0,0.0,0.0
Alabama,Bucks,0.0,0.0,0.0,0.0,0.0
Alabama,Brook Highland,59.0,208.0,25.0,0.0,0.0
Alabama,Bristow Cove,0.0,0.0,0.0,0.0,0.0
Alabama,Brantleyville,0.0,0.0,0.0,0.0,0.0
Alabama,Boykin,0.0,0.0,0.0,0.0,0.0
Alabama,Belle Fontaine,0.0,0.0,0.0,0.0,0.0
Alabama,Bellamy,0.0,0.0,0.0,0.0,0.0
Alabama,Broomtown,0.0,0.0,0.0,0.0,0.0
Alabama,Bon Secour,0.0,63.0,0.0,0.0,0.0
Alabama,Kimberly,0.0,32.0,7.0,0.0,0.0
Alabama,Cottondale,37.0,0.0,0.0,0.0,0.0
Alabama,Stewartville,0.0,0.0,0.0,0.0,0.0
Alabama,Sterrett,0.0,0.0,0.0,0.0,0.0
Alabama,Tidmore Bend,8.0,0.0,0.0,0.0,0.0
