State,City,Median Income
Alaska,Twin Hills,18500
Alaska,Tununak,8684
Alaska,Tuntutuliak,8523
Alaska,Tuluksak,9688
Alaska,Trapper Creek,21719
Alaska,Tonsina,-666666666
Alaska,Tolsona,-666666666
Alaska,Tyonek,12667
Alaska,Toksook Bay,10200
Alaska,Togiak,13690
Alaska,Thorne Bay,24279
Alaska,Tetlin,6902
Alaska,Tenakee Springs,31875
Alaska,Teller,14688
Alaska,Tazlina,31875
Alaska,Tatitlek,14750
Alaska,Tanana,19803
Alaska,Tok,28375
Alaska,Tanaina,32100
Alaska,Ugashik,16250
Alaska,Unalaska,33252
Alaska,Lake Minchumina,17500
Alaska,Yakutat,32417
Alaska,Wrangell city and borough,27145
Alaska,Womens Bay,38409
Alaska,Wiseman,-666666666
Alaska,Willow Creek,-666666666
Alaska,Willow,19266
Alaska,Whittier,23750
Alaska,Unalakleet,22903
Alaska,Whitestone Logging Camp,-666666666
Alaska,White Mountain,20313
Alaska,Whale Pass,42308
Alaska,Wasilla,26062
Alaska,Wales,16458
Alaska,Wainwright,22917
Alaska,Venetie,8523
Alaska,Utqiagvik,31963
Alaska,Upper Kalskag,11406
Alaska,Whitestone,-666666666
Alaska,Tanacross,14271
Alaska,Talkeetna,27917
Alaska,Takotna,-666666666
Alaska,Seldovia Village,29141
Alaska,Seldovia,27083
Alaska,Selawik,6635
Alaska,Scammon Bay,9063
Alaska,Saxman,19500
Alaska,Savoonga,8571
Alaska,Sand Point,29750
Alaska,Salcha,37378
Alaska,Seward,30385
Alaska,Salamatof,15859
Alaska,St. Michael,13438
Alaska,St. Mary's,15962
Alaska,St. George,25313
Alaska,Russian Mission,6875
Alaska,Ruby,13625
Alaska,Ridgeway,36024
Alaska,Red Dog Mine,-666666666
Alaska,Red Devil,13750
Alaska,St. Paul,32969
Alaska,Shageluk,17083
Alaska,Shaktoolik,18571
Alaska,Shishmaref,11071
Alaska,Sutton-Alpine,16771
Alaska,Susitna North,23380
Alaska,Susitna,-666666666
Alaska,Sunrise,-666666666
Alaska,Stony River,16250
Alaska,Stevens Village,-666666666
Alaska,Sterling,30902
Alaska,Steele Creek,42920
Alaska,Stebbins,11719
Alaska,South Van Horn,18387
Alaska,South Naknek,17083
Alaska,Soldotna,27454
Alaska,Sleetmute,15972
Alaska,Slana,-666666666
Alaska,Skwentna,-666666666
Alaska,Skagway,37140
Alaska,Sitka city and borough,37403
Alaska,Silver Springs,48125
Alaska,Shungnak,17000
Alaska,Quinhagak,13618
Alaska,Lake Louise,-666666666
Alaska,Perryville,8393
Alaska,Kwethluk,9760
Alaska,College,38425
Alaska,Coldfoot,22454
Alaska,Cold Bay,58125
Alaska,Cohoe,26695
Alaska,Coffman Cove,30469
Alaska,Clark's Point,15000
Alaska,Clam Gulch,27143
Alaska,Circle,13333
Alaska,Cooper Landing,34886
Alaska,Chuathbaluk,14531
Alaska,Chistochina,-666666666
Alaska,Chisana,-666666666
Alaska,Chiniak,-666666666
Alaska,Chignik Lake,14000
Alaska,Chignik Lagoon,25833
Alaska,Chignik,31607
Alaska,Chicken,-666666666
Alaska,Chickaloon,32589
Alaska,Chitina,-666666666
Alaska,Copper Center,19861
Alaska,Cordova,27306
Alaska,Covenant Life,23594
Alaska,Eielson AFB,31572
Alaska,Egegik,-666666666
Alaska,Eek,9688
Alaska,Edna Bay,-666666666
Alaska,Eagle Village,38393
Alaska,Eagle,18750
Alaska,Dry Creek,-666666666
Alaska,Dot Lake Village,18000
Alaska,Dot Lake,-666666666
Alaska,Diomede,14063
Alaska,Dillingham,34517
Alaska,Diamond Ridge,41797
Alaska,Denali Park,22243
Alaska,Deltana,34894
Alaska,Delta Junction,32045
Alaska,Deering,17188
Alaska,Crown Point,26250
Alaska,Crooked Creek,14583
Alaska,Craig,32619
Alaska,Chevak,12682
Alaska,Ekwok,11875
Alaska,Chenega,28864
Alaska,Chefornak,11078
Alaska,Angoon,29167
Alaska,Anderson,33750
Alaska,Anchor Point,25967
Alaska,Anchorage municipal,37105
Alaska,Anaktuvuk Pass,13929
Alaska,Ambler,14743
Alaska,Allakaket,12125
Alaska,Aleneva,-666666666
Alaska,Aniak,24922
Alaska,Aleknagik,17500
Alaska,Alatna,-666666666
Alaska,Alakanuk,8988
Alaska,Akutan,28281
Alaska,Akiak,13125
Alaska,Akiachak,10677
Alaska,Akhiok,-666666666
Alaska,Adak,26944
Alaska,Kwigillingok,12596
Alaska,Alcan Border,2499
Alaska,Anvik,16250
Alaska,Arctic Village,13173
