None,High_School,Associates,Bachelors,Graduate,Europe,Asia,Africa,Oceania,Americas,Never_Married,Married,Divorced,Separated,Widowed,Female,Male,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Pacific_Islander,Hispanic_Latino,White,Other,Two_or_More,Median_Income,Unemployment,Population,Nursery_Pre-School,Kindergarten,1st_4th,5th_8th,9th_12th,Violent_Crime
233,613,712,126,60,0.0,0,0,0,0,17.788,38.244,384,31,183,54.795,1169,308,0,0,0,15,2234,0,29,23316,2.978,2586,32,75,171,5.568,113,0.077
578,1447,2672,1269,1029,0.0,117,20,0,0,43.931,26.45,1090,280,530,52.402,6023,3012,15,150,0,191,9012,0,413,18668,6.33,12654,141,24,487,3.216,395,0.672
162,477,663,174,84,0.0,141,0,0,0,20.258,48.103,135,37,94,51.13,1211,330,114,145,0,414,1374,5,184,27404,3.269,2478,26,4,158,9.322,193,0.282
633,2796,3319,1840,918,0.0,81,0,0,0,24.241,40.989,1407,143,549,55.858,6692,4078,38,62,0,631,10132,209,311,31643,1.92,15160,239,192,807,7.652,858,0.29
2636,6898,6637,4493,3262,0.0,544,0,0,0,20.666,44.115,3383,332,1627,51.277,17373,6738,79,606,32,1328,26160,348,843,30692,2.381,35657,313,730,2110,5.034,1989,0.233
813,1741,1938,814,401,0.0,40,22,0,0,28.594,33.337,1073,100,681,59.012,3327,2470,0,28,0,57,5320,123,169,28518,3.536,8117,167,81,334,4.669,381,0.345
568,952,967,381,118,0.0,0,0,0,0,22.428,36.168,483,86,346,55.121,1963,2330,48,0,11,8,1908,8,69,26180,4.893,4374,117,43,236,5.716,247,0.434
205,306,195,18,0,0.0,0,0,0,0,24.278,34.477,113,21,65,44.585,614,306,0,0,0,29,733,19,33,14563,7.491,1108,16,0,78,5.415,64,0.993
1750,4656,4849,1988,1198,0.0,307,0,0,0,19.615,43.455,2226,281,1158,51.113,10368,3084,60,330,0,2068,15300,1267,471,27888,3.419,21208,255,240,1425,6.092,1298,0.316
2667,5456,4057,916,414,0.0,45,10,0,0,36.476,20.035,1883,1114,1639,52.994,10307,19493,100,67,0,222,2097,24,124,16669,4.492,21927,483,574,1368,4.748,1153,1.199
500,1840,1298,508,239,0.0,0,0,0,0,14.55,49.114,521,86,437,50.886,3021,683,0,0,0,53,5269,60,86,26083,2.439,6151,68,98,308,5.706,185,0.26
122,408,458,285,91,0.0,3,10,0,0,16.111,51.065,199,5,117,52.703,866,35,0,3,0,7,1770,0,23,38989,1.638,1831,12,32,77,4.096,91,0.109
504,2201,2800,993,639,0.0,0,12,0,0,20.265,43.682,1264,66,599,52.734,4814,6084,0,9,0,48,3945,0,117,35050,3.456,10185,94,70,405,9.043,530,0.157
534,1070,1397,428,459,0.0,0,15,0,0,10.449,55.898,507,0,296,53.828,2364,47,17,0,0,14,4883,16,143,30326,1.426,5120,85,18,113,7.695,116,0.156
147,1180,1059,421,219,0.0,0,0,0,0,20.37,39.101,577,25,292,55.584,1897,0,0,0,0,40,4231,0,0,27101,1.03,4271,69,0,197,5.736,160,0.07
121,285,249,100,27,0.0,7,0,0,0,22.515,38.318,142,36,90,51.572,570,129,0,14,0,39,968,0,27,25152,4.673,1177,14,12,61,4.843,88,0.68
1296,2059,1802,902,495,0.0,9,7,0,0,23.87,33.463,1298,161,819,55.13,4032,2056,42,10,29,275,6265,45,324,21838,2.081,8986,57,74,520,5.319,260,0.812
153,271,219,7,7,0.0,0,0,0,0,20.251,35.101,124,20,75,53.905,478,10,0,0,0,0,1021,0,6,14821,2.411,1037,11,17,81,3.472,56,0.289
658,1185,968,597,330,0.0,105,10,0,0,21.946,34.011,702,136,495,53.487,2448,2292,0,105,0,114,2666,22,64,26533,3.534,5263,162,31,300,4.389,226,0.589
70,228,196,100,30,0.0,0,0,0,0,26.488,29.559,134,14,53,55.47,464,138,0,0,0,56,766,0,82,21205,1.056,1042,12,16,50,7.774,139,0.96
109,570,481,201,53,0.0,9,0,0,0,19.754,44.845,225,34,98,53.376,1022,222,0,0,0,45,1914,0,17,30308,1.916,2192,22,42,87,6.706,149,0.319
5821,13187,15732,7306,4298,0.0,602,93,0,0,25.295,35.197,7854,1449,4136,52.814,32026,23061,185,779,18,2287,40510,315,1315,24573,3.545,67872,950,1015,3782,5.176,3446,0.987
1115,3215,3070,1133,749,0.0,119,0,0,0,20.492,38.231,1496,320,1006,50.426,6805,2003,8,225,0,609,10607,182,285,25106,2.892,13727,206,229,776,5.041,602,0.539
